number,value,datetime_start,datetime_complete,duration,params_C,params_gamma,params_kernel,params_mask_number,params_rsi_window,params_so_smooth,params_so_window,params_srsi_smooth1,params_srsi_smooth2,params_srsi_window,params_tsi_window_fast,params_tsi_window_slow,params_ult_weight_1,params_ult_weight_2,params_ult_weight_3,params_ult_window_1,params_ult_window_2,params_ult_window_3,params_williams_lbp,state
80,0.41302334810503344,2024-04-11 16:03:02.577932,2024-04-11 16:03:02.939300,0 days 00:00:00.361368,92.48234502636191,0.5427070394733859,sigmoid,25,,45.0,43.0,5.0,5.0,8.0,,,,,,,,,115.0,COMPLETE
81,0.5860647931709175,2024-04-11 16:03:02.940315,2024-04-11 16:03:03.180149,0 days 00:00:00.239834,96.36765173462386,1.2401855072368781,sigmoid,0,,,,,,,,,,,,,,,,COMPLETE
82,0.3902833462484417,2024-04-11 16:03:03.180149,2024-04-11 16:03:03.580048,0 days 00:00:00.399899,96.72063782636577,1.3589065817549721,sigmoid,43,27.0,6.0,28.0,,,,,,6.633641693634762,5.221474155870888,2.0304759950728717,2.0,45.0,79.0,94.0,COMPLETE
83,0.4233479393652297,2024-04-11 16:03:03.581058,2024-04-11 16:03:03.945946,0 days 00:00:00.364888,87.97335157622464,1.8554970327965055,sigmoid,29,,10.0,22.0,8.0,2.0,79.0,22.0,29.0,,,,,,,71.0,COMPLETE
84,0.3412178985558796,2024-04-11 16:03:03.946946,2024-04-11 16:03:04.299438,0 days 00:00:00.352492,92.00966669244218,0.7035170386300035,sigmoid,39,46.0,,,,,,43.0,2.0,2.6689969702840797,7.599759137720941,5.939658690494561,20.0,26.0,97.0,177.0,COMPLETE
85,0.5247406051094256,2024-04-11 16:03:04.300561,2024-04-11 16:03:04.581089,0 days 00:00:00.280528,99.15671702461235,0.2884491305571739,sigmoid,24,,39.0,9.0,7.0,4.0,74.0,,,,,,,,,,COMPLETE
86,0.4871372111631065,2024-04-11 16:03:04.582087,2024-04-11 16:03:04.942730,0 days 00:00:00.360643,80.2190142478414,2.3568622548074867,sigmoid,21,,,,1.0,3.0,8.0,46.0,9.0,,,,,,,73.0,COMPLETE
87,0.3265645452294195,2024-04-11 16:03:04.942730,2024-04-11 16:03:05.311470,0 days 00:00:00.368740,83.2921749199446,1.0445392474525423,sigmoid,3,,,,,,,,,5.4910970081294606,6.800419511415342,9.109435066189565,6.0,47.0,50.0,41.0,COMPLETE
88,0.2511490764027404,2024-04-11 16:03:05.311470,2024-04-11 16:03:05.719593,0 days 00:00:00.408123,96.99571759481081,1.4784480581882917,sigmoid,38,2.0,,,,,,37.0,16.0,3.7715903616900066,4.530815935591893,4.083728092610466,8.0,41.0,89.0,,COMPLETE
89,0.3357471551385867,2024-04-11 16:03:05.720582,2024-04-11 16:03:06.074552,0 days 00:00:00.353970,86.74110417624964,0.8138225696297307,sigmoid,15,,20.0,46.0,,,,24.0,35.0,2.0522875123119806,3.3000157141536235,8.040497794608532,18.0,29.0,85.0,196.0,COMPLETE
90,0.12959648135835936,2024-04-11 16:03:06.074552,2024-04-11 16:03:06.272808,0 days 00:00:00.198256,89.35828468008029,0.08234149045047351,sigmoid,0,,,,,,,,,,,,,,,,COMPLETE
91,0.588258559317662,2024-04-11 16:03:06.272808,2024-04-11 16:03:06.521681,0 days 00:00:00.248873,96.38481505641043,1.196664715022201,sigmoid,0,,,,,,,,,,,,,,,,COMPLETE
92,0.40342689977014695,2024-04-11 16:03:06.522683,2024-04-11 16:03:06.884254,0 days 00:00:00.361571,91.85794377226911,0.39278215999457133,sigmoid,22,,,,5.0,2.0,92.0,19.0,40.0,3.308218016878259,1.1147180471915723,6.43291975908794,15.0,48.0,54.0,,COMPLETE
93,0.5901522152284971,2024-04-11 16:03:06.885312,2024-04-11 16:03:07.130040,0 days 00:00:00.244728,99.76995689827987,1.2821540262614821,sigmoid,0,,,,,,,,,,,,,,,,COMPLETE
94,0.45088795435673534,2024-04-11 16:03:07.131039,2024-04-11 16:03:07.484671,0 days 00:00:00.353632,99.60463642114739,0.6707754244372943,sigmoid,18,,,,1.0,5.0,2.0,,,1.1643880950737575,5.355856633056115,7.355080880698606,2.0,37.0,91.0,,COMPLETE
95,0.33010372734526383,2024-04-11 16:03:07.485738,2024-04-11 16:03:07.919780,0 days 00:00:00.434042,93.24255424723724,1.571213359382233,sigmoid,35,6.0,,,,,,,,9.520455866984504,1.9741197718309422,3.0325354118316055,10.0,33.0,67.0,123.0,COMPLETE
96,0.46697124428916953,2024-04-11 16:03:07.920781,2024-04-11 16:03:09.266633,0 days 00:00:01.345852,85.28536962679716,0.9394522368675013,rbf,28,,27.0,42.0,7.0,1.0,19.0,14.0,28.0,,,,,,,,COMPLETE
97,0.45896499072963254,2024-04-11 16:03:09.267634,2024-04-11 16:03:09.717416,0 days 00:00:00.449782,77.45704521249894,1.1520223443570705,sigmoid,31,,37.0,33.0,6.0,6.0,57.0,5.0,18.0,7.78223735482587,3.900347017500906,4.414934684591364,18.0,50.0,69.0,146.0,COMPLETE
98,0.4564802854155134,2024-04-11 16:03:09.718420,2024-04-11 16:03:10.090524,0 days 00:00:00.372104,95.50269856378208,1.905112017484756,sigmoid,57,13.0,12.0,28.0,1.0,5.0,67.0,,,,,,,,,181.0,COMPLETE
99,0.10504933255948928,2024-04-11 16:03:10.090524,2024-04-11 16:03:10.478487,0 days 00:00:00.387963,81.83760080711532,0.5166497643294006,sigmoid,0,,,,,,,,,,,,,,,,COMPLETE
100,0.23810567857925893,2024-04-11 16:03:10.479501,2024-04-11 16:03:10.789915,0 days 00:00:00.310414,89.60381348306113,0.17332941228884247,sigmoid,42,24.0,6.0,12.0,,,,,,8.389606798944543,6.41555330047337,5.534416827531838,5.0,25.0,61.0,,COMPLETE
101,0.588258559317662,2024-04-11 16:03:10.790914,2024-04-11 16:03:11.033435,0 days 00:00:00.242521,95.1308280524902,1.203894434473191,sigmoid,0,,,,,,,,,,,,,,,,COMPLETE
